id,Predicted_Puani
0,24.54536096502377
1,25.788283872962694
2,18.152933537502005
3,20.07890601895438
4,26.70186847860382
5,40.77755317453658
6,13.835762172730995
7,15.720712442773342
8,23.019684295272125
9,17.618289522619985
10,32.1780920548228
11,44.24437358118828
12,41.22958995463312
13,47.88443170057767
14,18.017052137611678
15,41.58204923609645
16,30.26907533127849
17,32.62485394675144
18,33.991107419823194
19,44.571364725060945
20,43.94127042741843
21,18.12286535433866
22,39.10350473799013
23,21.487828557187267
24,37.6030225836517
25,8.811241044474668
26,20.712775079325414
27,45.485797482126834
28,29.236784234406265
29,39.508650030183176
30,33.20910389550798
31,32.30018638367484
32,19.076361719721433
33,31.562732647463612
34,35.05882654008188
35,20.8715952432246
36,26.61372365252564
37,25.68294005623477
38,33.723177004968704
39,50.98614214650888
40,37.415231861570646
41,30.091122695341106
42,49.131949334828306
43,27.895268292235095
44,39.71513567881084
45,20.474485243712035
46,30.730217958166445
47,37.816306162672134
48,48.73629382376614
49,35.53655124391105
50,42.319526739750735
51,30.05525212192441
52,22.048894713309235
53,42.60874732493881
54,41.74401053468773
55,41.553317757405665
56,43.46820720953991
57,32.23305893996502
58,39.77811582944108
59,33.53384702220194
60,22.091622380934435
61,21.798136927794005
62,27.70610491469866
63,43.78670477146501
64,31.466833260460692
65,47.2013115616055
66,53.47286988916473
67,32.642541763597265
68,42.720712472554084
69,40.81154480087501
70,49.014585971052156
71,33.37369776137583
72,39.0894127894544
73,24.062652110884713
74,17.426418185393324
75,22.712571370606142
76,33.09439813225597
77,40.991488873485665
78,22.047848868231075
79,26.060821007092347
80,31.292461685896257
81,48.77573292974163
82,30.46117393295375
83,42.60532271472415
84,25.12917235884993
85,22.97542655711962
86,35.636034245635116
87,34.92293295689919
88,31.795392757674556
89,33.98503367970359
90,53.15209224886045
91,43.30308137538455
92,28.010039640645644
93,21.572963946964364
94,13.301405617957366
95,15.481790073841982
96,50.77800081287772
97,40.05492913570603
98,20.599594913694347
99,20.147599055118715
100,38.30507776413823
101,53.30063912976282
102,21.350693857081673
103,35.97977407195361
104,42.20754875716742
105,39.92576422013736
106,39.88734445205297
107,41.36087317095976
108,40.965624650293805
109,33.24092279928221
110,34.122865635703064
111,17.821601961977464
112,15.006733115510164
113,38.76916702798306
114,36.50868749356631
115,43.69188906779718
116,31.391992079380607
117,27.263321316073075
118,24.959306832225124
119,49.0222332590532
120,22.026886480567512
121,30.088425391053814
122,45.71318685563324
123,42.30580434349783
124,21.55048078158241
125,33.714680914002415
126,43.744955043986906
127,37.08323017058471
128,22.194250994460035
129,35.57222782213026
130,22.200524271990098
131,26.92638137931903
132,24.57819282644418
133,39.151402985257576
134,32.60189102750355
135,26.990464700178343
136,47.86639449555782
137,45.868451714437796
138,47.66717026045012
139,37.04312102282156
140,38.015807435233555
141,24.64657623658841
142,22.32424173536868
143,27.873690152034893
144,31.4725573445126
145,23.25039292084129
146,22.67386549995597
147,44.860662885184794
148,32.02743944236619
149,46.92007988253874
150,27.12389084635753
151,32.58179178713239
152,33.89250810495781
153,41.060407260522936
154,29.665314171123626
155,41.558990430416856
156,50.62366852669543
157,19.973980616846344
158,13.68008163219972
159,41.64346720705708
160,38.099690523232304
161,39.5212471811885
162,18.270289439166746
163,19.616504615920128
164,50.808881608079886
165,40.66044864770637
166,42.804025075664356
167,34.07480822408398
168,27.260420148634623
169,26.17972466229183
170,34.69997437262664
171,45.99897191818481
172,30.77138386597057
173,51.928544429463415
174,44.44225841568622
175,38.3451015832016
176,52.52374312265229
177,14.493704864330418
178,49.387214111586054
179,20.379291039617492
180,49.78972792957907
181,46.451968461743746
182,48.90712634854198
183,35.92068948549806
184,31.497354468706092
185,20.771177624400888
186,37.68417894351941
187,46.118184222733426
188,7.64261683851139
189,21.50357433669385
190,23.3003767208062
191,27.84051994906331
